
          epoch;     train_loss;       val_loss;             PA;         Recall;      Precision;             F1;     Train_Miou;       Val_Miou;          FWiou;
             55;        0.11605;        0.12488;        0.94994;        0.93711;        0.93923;        0.90993;        0.88962;        0.88444;        0.90525;
             56;        0.11244;        0.29245;        0.89197;        0.92311;        0.82758;        0.83295;        0.89105;        0.76476;        0.81307;
             57;        0.11743;        0.14066;        0.94818;        0.93384;         0.9397;        0.90668;        0.88739;        0.88117;         0.9018;
             58;        0.11592;         0.1511;          0.942;        0.93707;        0.92081;        0.90072;        0.88977;        0.86759;         0.8916;
             59;        0.11717;        0.32594;        0.87256;        0.90151;        0.81811;        0.80335;        0.88839;        0.73912;        0.79186;
             60;        0.11724;        0.60053;        0.85372;        0.87085;        0.80572;        0.77075;        0.88848;        0.70957;        0.76808;
             61;        0.11038;        0.12026;        0.95193;        0.93376;         0.9491;        0.91116;        0.89416;        0.88965;         0.9084;
             62;        0.11147;        0.12942;        0.94905;        0.94558;        0.92756;         0.9119;        0.89285;        0.88115;        0.90431;
             63;         0.1097;        0.15242;        0.94441;        0.93971;        0.92525;        0.90472;         0.8948;        0.87284;        0.89574;
             64;        0.10897;        0.11867;        0.95266;        0.94605;        0.93562;        0.91629;        0.89498;        0.88893;        0.91069;
             65;        0.10636;        0.14243;        0.94459;         0.9193;        0.94895;        0.89675;        0.89732;        0.87532;        0.89468;
             66;        0.10158;        0.11562;        0.95473;        0.93969;        0.94921;        0.91683;        0.90086;        0.89508;         0.9136;
             67;        0.10486;        0.19109;         0.9242;        0.94634;        0.87098;        0.87912;        0.89794;        0.82503;        0.86382;
             68;        0.10699;        0.23263;        0.88201;         0.9007;        0.83382;        0.81892;        0.89658;        0.75881;        0.80087;
             69;        0.10479;        0.12226;        0.95298;        0.94773;        0.93661;        0.91835;        0.89896;        0.89105;        0.91098;
             70;       0.098958;        0.11611;        0.95412;        0.94058;        0.94703;         0.9167;        0.90297;        0.89413;        0.91264;
             71;       0.099244;        0.13753;        0.94826;        0.94876;        0.92317;        0.91239;         0.9023;        0.87948;        0.90306;
             72;       0.099762;        0.18809;        0.91059;        0.91563;          0.884;        0.85773;        0.90259;        0.81169;         0.8416;
             73;        0.10172;        0.12882;        0.95185;         0.9355;        0.94825;        0.91195;        0.90131;        0.88964;        0.90818;
             74;       0.099085;        0.39022;        0.87452;         0.9097;         0.8178;        0.80715;        0.90389;        0.74217;         0.7966;
             75;       0.098326;        0.12031;        0.95295;        0.93487;        0.95137;        0.91308;        0.90425;        0.89228;        0.91015;
             76;       0.094263;        0.17146;        0.92599;        0.93282;        0.89604;        0.88231;        0.90734;        0.83916;         0.8653;
             77;       0.095342;        0.11375;        0.95622;        0.94464;        0.94805;          0.921;        0.90606;        0.89859;        0.91645;
             78;       0.089819;        0.11079;        0.95549;        0.94878;        0.94097;         0.9214;        0.91056;        0.89598;        0.91558;
             79;       0.099154;        0.14562;        0.94566;         0.9418;        0.92413;        0.90669;        0.90343;        0.87463;        0.89815;
             80;       0.090606;        0.11412;        0.95517;        0.94891;        0.94143;        0.92163;        0.91106;        0.89612;        0.91479;
             81;       0.097106;        0.19336;         0.9113;        0.92535;        0.87559;        0.86177;        0.90456;        0.81172;        0.84351;
             82;        0.09289;        0.10677;        0.95864;        0.94627;        0.95262;        0.92473;        0.90897;        0.90418;        0.92081;
             83;       0.087558;        0.22447;        0.91098;         0.9198;        0.87944;        0.86143;        0.91293;         0.8141;        0.84243;
             84;        0.10082;        0.27423;        0.89447;        0.90969;        0.85067;        0.83695;        0.90232;        0.78053;        0.81756;
             85;        0.10283;        0.14393;        0.94794;        0.93444;        0.93869;        0.90693;        0.90074;        0.88119;        0.90152;
             86;       0.098514;        0.12075;        0.95238;        0.93774;         0.9476;        0.91424;        0.90372;        0.89192;        0.90929;
             87;       0.091686;         0.1045;        0.95913;        0.94958;        0.95041;         0.9268;        0.91054;        0.90517;        0.92182;
             88;       0.085964;         0.2832;        0.88654;        0.90893;        0.84263;        0.82632;        0.91508;        0.76935;        0.81114;
             89;       0.089756;        0.10653;        0.95786;        0.94963;        0.94611;        0.92479;        0.91177;        0.90149;        0.91975;
             90;       0.087194;       0.099149;           0.96;        0.95047;        0.95098;        0.92787;        0.91419;        0.90652;        0.92352;
             91;       0.090531;        0.11484;        0.95664;        0.94517;        0.94806;        0.92157;        0.91018;        0.89919;        0.91726;
             92;       0.085176;        0.11941;        0.95549;        0.94125;        0.95014;        0.91877;        0.91544;        0.89737;          0.915;
             93;        0.10228;         0.1049;        0.95752;        0.94073;        0.95622;        0.92098;        0.90113;        0.90204;        0.91855;
             94;       0.086539;        0.11167;        0.95691;        0.93862;        0.95791;        0.91965;        0.91414;        0.90145;        0.91734;
             95;       0.087064;        0.10778;         0.9587;        0.95065;        0.94737;         0.9264;        0.91353;         0.9035;        0.92118;
             96;       0.081432;        0.10011;        0.96052;        0.94876;        0.95518;        0.92819;        0.91848;        0.90853;        0.92422;
             97;       0.081446;       0.092291;        0.96278;        0.95507;        0.95357;        0.93353;        0.91855;        0.91304;        0.92859;
             98;       0.081766;        0.12533;        0.94856;        0.94449;         0.9335;        0.91372;        0.91826;        0.88518;        0.90297;
             99;       0.081807;       0.096939;        0.96088;        0.95585;         0.9476;        0.93135;        0.91907;        0.90831;        0.92529;
            100;       0.079736;       0.090297;        0.96395;        0.95641;        0.95539;        0.93566;        0.92024;        0.91587;        0.93073;
            101;       0.083855;       0.098296;        0.96035;        0.95336;        0.94895;        0.92969;        0.91642;        0.90736;        0.92423;
            102;       0.078607;        0.10948;        0.95947;        0.94729;        0.95356;        0.92615;        0.92181;          0.906;        0.92239;
            103;       0.078009;       0.099338;        0.96068;        0.95421;        0.94974;        0.93081;        0.92186;        0.90866;        0.92476;
            104;       0.077506;       0.088675;        0.96383;        0.95686;        0.95402;        0.93545;        0.92275;         0.9151;        0.93057;
            105;       0.079095;       0.091933;        0.96313;         0.9531;        0.95676;        0.93317;        0.92103;         0.9141;        0.92911;
            106;       0.078408;       0.094887;        0.96194;        0.94904;        0.95863;        0.93011;        0.92202;        0.91193;        0.92678;
            107;       0.080331;        0.10336;        0.96077;        0.94894;        0.95459;        0.92823;        0.91987;        0.90846;        0.92477;
            108;       0.081878;       0.097793;        0.96202;        0.95191;        0.95507;        0.93127;        0.91889;        0.91157;         0.9271;
            109;       0.080768;        0.17142;        0.93789;        0.92866;        0.92806;        0.89493;        0.91922;         0.8645;        0.88408;
            110;       0.083806;        0.11166;        0.95837;        0.94153;        0.95885;        0.92289;        0.91719;        0.90499;        0.92005;
            111;       0.079121;        0.10756;        0.95841;        0.95728;        0.94158;        0.92954;        0.92093;        0.90371;        0.92087;
            112;       0.075801;       0.090353;        0.96383;        0.95151;         0.9607;        0.93342;         0.9241;        0.91601;        0.93029;
            113;       0.072205;        0.12786;        0.94672;        0.94483;        0.93158;        0.91232;        0.92702;        0.88273;        0.89999;
            114;       0.074758;       0.087985;        0.96434;        0.95784;         0.9542;        0.93647;        0.92482;        0.91617;        0.93155;
            115;       0.072363;       0.092045;        0.96415;        0.95716;        0.95471;        0.93608;         0.9273;        0.91602;        0.93114;
            116;       0.077469;        0.10649;        0.95857;        0.95239;        0.94607;        0.92731;        0.92281;        0.90374;          0.921;
            117;       0.077347;       0.093583;        0.96364;        0.95778;        0.95329;        0.93593;        0.92396;        0.91518;        0.93022;
            118;        0.07313;       0.093087;        0.96407;        0.95616;        0.95608;        0.93574;        0.92653;        0.91625;        0.93092;
            119;       0.073975;       0.094097;        0.96389;        0.95447;        0.95673;        0.93451;        0.92584;        0.91546;        0.93061;
            120;       0.073536;        0.10613;        0.95939;         0.9533;        0.94886;        0.92926;        0.92627;        0.90661;        0.92236;
            121;       0.070591;       0.092274;        0.96365;        0.95462;        0.95695;        0.93461;         0.9289;        0.91548;        0.93007;
            122;        0.06916;        0.10811;        0.96178;        0.95422;        0.95358;        0.93262;        0.93036;        0.91206;        0.92667;
            123;       0.071638;       0.093093;        0.96472;        0.95604;        0.95707;        0.93616;        0.92794;        0.91718;        0.93216;
            124;       0.069982;        0.08912;        0.96489;        0.95717;        0.95626;        0.93683;        0.92969;        0.91747;        0.93253;
            125;       0.070248;       0.088411;        0.96561;         0.9563;        0.95956;        0.93757;        0.92935;        0.91959;        0.93371;
            126;        0.06988;       0.095972;        0.96307;        0.95233;        0.95703;        0.93253;        0.92891;        0.91366;        0.92906;
            127;       0.067652;        0.08957;        0.96539;        0.95752;         0.9574;        0.93771;        0.93162;        0.91877;        0.93339;
